epoch,step,total_loss,dino_loss,ibot_loss,koleo_loss,gram_loss,val_loss
1,7,1.856206014752388,0.8604388684034348,0.8790989518165588,0.06433486938476562,0.05233326414600015,1.4437568187713623
2,15,1.1969574987888336,0.4714423380792141,0.5655835270881653,0.09899139404296875,0.060940221417695284,1.0934350490570068
3,23,0.9887317419052124,0.33648698776960373,0.48385170102119446,0.10823822021484375,0.060154841747134924,1.0162901878356934
4,31,0.9257730916142464,0.31450052186846733,0.4659487009048462,0.095489501953125,0.049834344536066055,0.9510391354560852
5,39,0.8963179513812065,0.308861430734396,0.45528408885002136,0.08858489990234375,0.04358754213899374,0.9187228679656982
6,47,0.8662345707416534,0.3007916212081909,0.44805388525128365,0.079986572265625,0.03740248829126358,0.908646285533905
7,55,0.8543849587440491,0.29515962675213814,0.43823501467704773,0.08455657958984375,0.03643371956422925,0.8863440155982971
8,63,0.8333457112312317,0.2859197184443474,0.4309341795742512,0.0826873779296875,0.033804457169026136,0.8280555605888367
9,71,0.8057754039764404,0.2810325659811497,0.4231562092900276,0.070343017578125,0.03124360996298492,0.8185635209083557
10,79,0.8037313222885132,0.2783941961824894,0.4225223995745182,0.071258544921875,0.031556195579469204,0.8010897636413574
11,87,0.7806142047047615,0.27189039811491966,0.4144560880959034,0.064117431640625,0.030150288250297308,0.7754300236701965
12,95,0.7777267545461655,0.27143917977809906,0.4118238352239132,0.06415939331054688,0.03030435461550951,0.7792980670928955
13,103,0.7656396925449371,0.26843417435884476,0.4059040695428848,0.061450958251953125,0.02985048620030284,0.7551401257514954
14,111,0.7485477924346924,0.26335467398166656,0.3987441584467888,0.05736541748046875,0.029083534609526396,0.7407842874526978
15,119,0.7382009923458099,0.2590518072247505,0.39435959979891777,0.055782318115234375,0.029007261153310537,0.7711599469184875
16,127,0.7557746022939682,0.26280439645051956,0.4002769738435745,0.06339263916015625,0.029300600988790393,0.7637237310409546
17,135,0.7527631670236588,0.26367562264204025,0.39549506455659866,0.06414031982421875,0.029452170711010695,0.735899806022644
18,143,0.7333395257592201,0.2554518096148968,0.3890848718583584,0.05976104736328125,0.02904179343022406,0.7434432506561279
19,151,0.7497429996728897,0.26059310510754585,0.39844536036252975,0.060985565185546875,0.029718989739194512,0.7415620684623718
20,159,0.7263430431485176,0.25280577689409256,0.38744108378887177,0.05738067626953125,0.028715503634884953,0.7182561159133911
21,167,0.7179783433675766,0.24920360185205936,0.38396284356713295,0.056011199951171875,0.028800710337236524,0.7172108888626099
22,175,0.7154071256518364,0.2485642470419407,0.3821502961218357,0.0561981201171875,0.028494476806372404,0.7002256512641907
23,183,0.6994532942771912,0.2432825118303299,0.37392163276672363,0.05426025390625,0.027988878078758717,0.6874985098838806
24,191,0.7074742093682289,0.24467707052826881,0.37756530568003654,0.05695343017578125,0.028278383426368237,0.6917694211006165
25,199,0.691330648958683,0.240581464022398,0.3694858215749264,0.053546905517578125,0.0277164694853127,0.6929440498352051
26,207,0.6889146119356155,0.23944547772407532,0.36793871968984604,0.05385589599609375,0.02767452923581004,0.6869925260543823
27,215,0.7046278417110443,0.24345562607049942,0.37633320689201355,0.056606292724609375,0.02823271625675261,0.7043485641479492
28,223,0.687422513961792,0.23795933462679386,0.367235217243433,0.054656982421875,0.027570969192311168,0.6724036931991577
29,231,0.6740518659353256,0.23355267010629177,0.36042072251439095,0.052501678466796875,0.02757680881768465,0.6635027527809143
30,239,0.6700048446655273,0.23207246325910091,0.3585354834794998,0.051937103271484375,0.02745980303734541,0.6872863173484802
31,247,0.6806143000721931,0.23483931086957455,0.3652584031224251,0.052913665771484375,0.02760293032042682,0.6853873133659363
32,255,0.6750916242599487,0.23376417346298695,0.36124397441744804,0.052570343017578125,0.02751313801854849,0.6656352877616882
33,263,0.6639356911182404,0.22912112809717655,0.3553885444998741,0.052097320556640625,0.027328670723363757,0.6643781661987305
34,271,0.6590360850095749,0.22731220722198486,0.35286562889814377,0.051624298095703125,0.027233940782025456,0.6554810404777527
35,279,0.6635865792632103,0.22946137376129627,0.3546217046678066,0.052158355712890625,0.02734513022005558,0.6553012728691101
36,287,0.6529104709625244,0.2240146640688181,0.3496728762984276,0.052043914794921875,0.027179016964510083,0.6393054127693176
37,295,0.6448761373758316,0.22169663570821285,0.3458092100918293,0.05037689208984375,0.026993386447429657,0.6455760598182678
38,303,0.6498705074191093,0.22217788361012936,0.34898627549409866,0.05149078369140625,0.027215565321967006,0.6497808694839478
39,311,0.6460062637925148,0.2219294924288988,0.34605735167860985,0.0509490966796875,0.02707033371552825,0.637811005115509
40,319,0.6420745328068733,0.2206469103693962,0.3441762924194336,0.050357818603515625,0.026893514674156904,0.6416575312614441
41,327,0.6451655030250549,0.2207006774842739,0.34536416083574295,0.051975250244140625,0.027125429827719927,0.6525756120681763
42,335,0.6592060923576355,0.22550474479794502,0.3522721789777279,0.054111480712890625,0.027317716274410486,0.6565296649932861
43,343,0.651633232831955,0.2230734210461378,0.3471820056438446,0.054058074951171875,0.027319733053445816,0.6313855648040771
44,351,0.6376271471381187,0.21853236109018326,0.34090369939804077,0.0511322021484375,0.0270588849671185,0.6329809427261353
45,359,0.6391772404313087,0.21773806773126125,0.3420735001564026,0.052310943603515625,0.0270547263789922,0.6236732602119446
46,367,0.6474005281925201,0.22113730385899544,0.3464627042412758,0.05229949951171875,0.027501028962433338,0.6317834854125977
47,375,0.6330989599227905,0.21702994219958782,0.3379598557949066,0.051174163818359375,0.026935012778267264,0.6283633708953857
48,383,0.6391000524163246,0.21867043152451515,0.3411141559481621,0.052043914794921875,0.027271560858935118,0.6469259262084961
49,391,0.6459297761321068,0.22038878314197063,0.34520354866981506,0.05318450927734375,0.027152931783348322,0.6359288692474365
50,399,0.6386295109987259,0.21817433647811413,0.34088755026459694,0.05242919921875,0.027138416655361652,0.6350069046020508
51,407,0.6291676014661789,0.2147148922085762,0.3359420895576477,0.05169677734375,0.026813840493559837,0.6213747262954712
52,415,0.6266804561018944,0.2130150105804205,0.33534737303853035,0.0513763427734375,0.02694173832423985,0.614188015460968
53,423,0.6232058107852936,0.21182415634393692,0.3341977037489414,0.05020904541015625,0.026974910171702504,0.6111558675765991
54,431,0.6175113767385483,0.21001915261149406,0.3313935808837414,0.0492706298828125,0.026828000089153647,0.6213282942771912
55,439,0.6179354414343834,0.21073107048869133,0.33078665658831596,0.049686431884765625,0.026731274090707302,0.6090912818908691
56,447,0.6114766746759415,0.20806268975138664,0.3276837654411793,0.0490264892578125,0.02670372906140983,0.6007866263389587
57,455,0.6075348481535912,0.20656870864331722,0.32526715099811554,0.04894256591796875,0.026756400475278497,0.6012521982192993
58,463,0.6118018478155136,0.2077611107379198,0.3278306759893894,0.04938507080078125,0.026824986096471548,0.6056920289993286
59,471,0.6081917211413383,0.20569760911166668,0.32678719982504845,0.048999786376953125,0.026707130018621683,0.602253794670105
60,479,0.6108539402484894,0.20791607163846493,0.3264142721891403,0.04967498779296875,0.026848609326407313,0.6221184730529785
61,487,0.6282560974359512,0.21373950876295567,0.3358262628316879,0.05182647705078125,0.02686383342370391,0.6152640581130981
62,495,0.6105216518044472,0.20695728063583374,0.3261048085987568,0.05063629150390625,0.026823278749361634,0.6038375496864319
63,503,0.6100553125143051,0.2069815658032894,0.32537243515253067,0.050994873046875,0.026706425240263343,0.6053197383880615
64,511,0.6047785729169846,0.20554720982909203,0.3230394572019577,0.04950714111328125,0.02668476919643581,0.6011454463005066
65,519,0.6082007363438606,0.2056811209768057,0.32533079758286476,0.05030059814453125,0.026888218941166997,0.6049668788909912
66,527,0.6072377935051918,0.20515556074678898,0.32503464445471764,0.0501861572265625,0.026861425954848528,0.601475715637207
67,535,0.5999677330255508,0.20211022906005383,0.32157765328884125,0.049579620361328125,0.0267002466134727,0.5930245518684387
68,543,0.5938969328999519,0.20050450414419174,0.31840910390019417,0.048397064208984375,0.026586239458993077,0.5894520282745361
69,551,0.5939135178923607,0.20038189180195332,0.31902875006198883,0.0478515625,0.026651315856724977,0.5867866277694702
70,559,0.5896908268332481,0.19813210144639015,0.31695903837680817,0.048076629638671875,0.02652306528761983,0.5818973779678345
71,567,0.5958973914384842,0.20023584738373756,0.32012559473514557,0.048725128173828125,0.0268108241725713,0.6027361154556274
72,575,0.5988110825419426,0.20162086002528667,0.3210429921746254,0.0492401123046875,0.026907126186415553,0.6004957556724548
73,583,0.6033973917365074,0.20353599078953266,0.32274848967790604,0.0503692626953125,0.02674363669939339,0.6024766564369202
74,591,0.604010783135891,0.20323053747415543,0.3218403533101082,0.0520782470703125,0.02686164411716163,0.588019609451294
75,599,0.6042812243103981,0.20372292585670948,0.3222922310233116,0.051403045654296875,0.026863015722483397,0.5987357497215271
76,607,0.6096567139029503,0.2046191245317459,0.3263125717639923,0.051830291748046875,0.026894722832366824,0.6002181768417358
77,615,0.5969230607151985,0.20065472275018692,0.31861662119627,0.050937652587890625,0.02671406348235905,0.5865136384963989
78,623,0.5876182392239571,0.1975293606519699,0.314498208463192,0.04894256591796875,0.026648110477253795,0.5791969895362854
79,631,0.5907731056213379,0.1979797463864088,0.317237950861454,0.0489654541015625,0.026589952874928713,0.5879988670349121
80,639,0.5870974808931351,0.19679495878517628,0.31430816277861595,0.049396514892578125,0.026597854681313038,0.5825173854827881
81,647,0.5912434086203575,0.1980249024927616,0.3172706849873066,0.0492095947265625,0.026738233398646116,0.5742055773735046
82,655,0.5805950537323952,0.1944547165185213,0.3113977871835232,0.04827880859375,0.026463735848665237,0.5766772627830505
83,663,0.5828787088394165,0.1951526738703251,0.3125235475599766,0.048427581787109375,0.026774903060868382,0.5843471884727478
84,671,0.5903656184673309,0.19844824634492397,0.31657004728913307,0.048583984375,0.026763351634144783,0.5808793306350708
85,679,0.5817722007632256,0.1948254518210888,0.3111833222210407,0.049152374267578125,0.026611055713146925,0.5701184868812561
86,687,0.574726052582264,0.1917879655957222,0.30811263248324394,0.04833221435546875,0.02649323921650648,0.5665714144706726
87,695,0.5766506269574165,0.1916442159563303,0.31004127487540245,0.048427581787109375,0.02653755829669535,0.5770981311798096
88,703,0.574216902256012,0.191570607945323,0.30875932797789574,0.047313690185546875,0.026573272421956062,0.5674126148223877
89,711,0.5751916021108627,0.19218985550105572,0.30876676738262177,0.0477294921875,0.026505498681217432,0.5852410197257996
90,719,0.5893547460436821,0.1965459417551756,0.31560836359858513,0.05060577392578125,0.02659467444755137,0.5759157538414001
91,727,0.5796409547328949,0.19360319897532463,0.3095677122473717,0.0498504638671875,0.026619592448696494,0.5790585279464722
92,735,0.575787827372551,0.19158796221017838,0.30850937217473984,0.0491943359375,0.02649617358110845,0.5711644887924194
93,743,0.5724913775920868,0.1907704807817936,0.30697088316082954,0.04828643798828125,0.026463579386472702,0.5650953054428101
94,751,0.5654340609908104,0.18761780858039856,0.3038610629737377,0.0475921630859375,0.026363002136349678,0.5654575824737549
95,759,0.5633495897054672,0.1868997048586607,0.30297984182834625,0.04706573486328125,0.026404290925711393,0.5619345307350159
96,767,0.5635497570037842,0.1868151817470789,0.30325327068567276,0.047039031982421875,0.026442272821441293,0.57803875207901
97,775,0.5802385807037354,0.19248677045106888,0.3124014101922512,0.048717498779296875,0.026632917812094092,0.5611011981964111
98,783,0.5682033747434616,0.1885841302573681,0.3048730939626694,0.048343658447265625,0.026402485324069858,0.5641845464706421
99,791,0.5617042034864426,0.18588287755846977,0.30157770216464996,0.04781341552734375,0.02643020241521299,0.5565964579582214
100,799,0.5623398199677467,0.18626288138329983,0.3019997254014015,0.04772186279296875,0.026355339912697673,0.5583975315093994
101,807,0.5598559603095055,0.18484040349721909,0.30114199593663216,0.047504425048828125,0.026369138155132532,0.5465796589851379
102,815,0.5583944544196129,0.1835619155317545,0.3011331520974636,0.047351837158203125,0.02634754776954651,0.5620720982551575
103,823,0.566114716231823,0.18635517917573452,0.30549347028136253,0.047901153564453125,0.026364895747974515,0.5589641332626343
